avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,build_total_s,computation_max,computation_min,dataset,experiment_dir,faiss_query_prep_s,faiss_search_s,faiss_total_query_s,hnsw_ef_search,hnsw_ndis_total,index_kind,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,k,method,nprobe,qps,queries_evaluated,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,probe_depth,train_s,selected_part,threshold
3722.4322,avg_distance_computations_per_query,3722.4322,avg_distance_computations_per_query,224.6371586639434,3722.4322,3722.4322,deep1m,../experiments/adaptivf/deep1m/20260331-112312-428949_hnsw_seed0,8.048117160797119e-05,0.16771441884338856,0.16779490001499653,128,37224322.0,hnsw,6251.078572273254,index_overhead_manifest,6251.078572273254,index_overhead_manifest,10,HNSW,10,59596.56699402817,10000,6860.140625,6860.140625,isolated_subprocess_rss_delta,14283.03125,14950.953125,7528.0625,667.921875,0.98095,0,6251.078572273254,serving_footprint_manifest,,,,
29643.6297,avg_unique_candidate_vectors_per_query,29643.6297,avg_unique_candidate_vectors_per_query,141.96408031135798,77368.0,9252.0,deep1m,../experiments/adaptivf/deep1m/20260331-112707-730611_ivf_seed0,6.953254342079163e-06,0.363357812166214,0.36336476542055607,,,ivf,3736.1964826583862,index_overhead_manifest,3736.1964826583862,index_overhead_manifest,10,IVF,10,27520.5549674748,10000,3754.98046875,3754.98046875,isolated_subprocess_rss_delta,14283.0,14950.953125,4422.93359375,667.953125,0.8571799999999999,0,3736.1964826583862,serving_footprint_manifest,,,,
54107.902,avg_unique_candidate_vectors_per_query,54107.902,avg_unique_candidate_vectors_per_query,,97280.0,9580.0,deep1m,../experiments/adaptivf/deep1m/20260331-113111-622887_mlp_ivf_seed0,,,,,,,337.8179683685303,index_overhead_manifest,337.8179683685303,index_overhead_manifest,,MLP-IVF,,33.98959995536423,,45.140625,45.140625,isolated_subprocess_rss_delta,9598.0546875,15148.91796875,5596.00390625,5550.86328125,0.9021800000000001,0,337.8179683685303,serving_footprint_manifest,10,1603.678483005613,,
46997.3694,avg_unique_candidate_vectors_per_query,46997.3694,avg_unique_candidate_vectors_per_query,,97280.0,5062.0,deep1m,../experiments/adaptivf/deep1m/20260331-125939-900052_bliss_seed0,,,,,,,337.8179683685303,index_overhead_manifest,337.8179683685303,index_overhead_manifest,,BLISS,,37.65310379904095,,45.0859375,45.0859375,isolated_subprocess_rss_delta,9635.0546875,15148.91796875,5558.94921875,5513.86328125,0.9240700000000001,0,337.8179683685303,serving_footprint_manifest,10,1580.9653638135642,,
814.0971,avg_unique_candidate_vectors_per_query,814.0971,avg_unique_candidate_vectors_per_query,,2969.0,0.0,deep1m,../experiments/adaptivf/deep1m/20260331-141944-714264_lira_seed0,,,,,,,12628.923320770264,index_overhead_manifest,12628.923320770264,index_overhead_manifest,,LIRA,10.0202,324.6498273359173,,799.21875,,isolated_subprocess_rss_delta,,,,,0.9316499999999817,0,12628.923320770264,serving_footprint_manifest,10,12026.539181966335,1,0.7599998712539673
45628.0662,avg_unique_candidate_vectors_per_query,45628.0662,avg_unique_candidate_vectors_per_query,,48128.0,7235.0,deep1m,../experiments/adaptivf/deep1m/20260331-174055-963868_adaptivf_seed0,,,,,,,150.14933586120605,index_overhead_manifest,150.14933586120605,index_overhead_manifest,,AdaptIVF,,38.53879600462786,,30.19921875,30.19921875,isolated_subprocess_rss_delta,701754.8984375,707021.8671875,5297.16796875,5266.96875,0.82225,0,150.14933586120605,serving_footprint_manifest,10,400.1450391616672,,
29643.6297,avg_unique_candidate_vectors_per_query,29643.6297,avg_unique_candidate_vectors_per_query,155.52173998206854,77368.0,9252.0,deep1m,../experiments/adaptivf/deep1m/20260331-181134-536598_ivfpq_seed0,7.662922143936157e-06,0.09879797883331776,0.09880564175546169,,,ivfpq,230.2783145904541,index_overhead_manifest,230.2783145904541,index_overhead_manifest,10,IVFPQ,10,101208.7955943794,10000,313.07421875,313.07421875,isolated_subprocess_rss_delta,706354.39453125,707021.8671875,980.546875,667.47265625,0.45575,0,230.2783145904541,serving_footprint_manifest,,,,
54232.5241,avg_unique_candidate_vectors_per_query,54232.5241,avg_unique_candidate_vectors_per_query,,97280.0,9893.0,deep1m,../experiments/adaptivf/deep1m/20260331-181551-003920_mlp_ivfpq_seed0,,,,,,,490.3472652435303,index_overhead_manifest,490.3472652435303,index_overhead_manifest,,MLP-IVFPQ,,6.194160991391768,,12.55078125,12.55078125,isolated_subprocess_rss_delta,701316.23046875,707021.8671875,5718.1875,5705.63671875,0.8884,0,490.3472652435303,serving_footprint_manifest,10,1588.7693817541003,,
45659.8056,avg_unique_candidate_vectors_per_query,45659.8056,avg_unique_candidate_vectors_per_query,,48128.0,8730.0,deep1m,../experiments/adaptivf/deep1m/20260331-202845-291456_adaptivfppq_seed0,,,,,,,302.8223705291748,index_overhead_manifest,302.8223705291748,index_overhead_manifest,,AdaptIVF+PQ,,5.6103510686804885,,16.08203125,16.08203125,isolated_subprocess_rss_delta,701602.703125,707021.8671875,5435.24609375,5419.1640625,0.81323,0,302.8223705291748,serving_footprint_manifest,10,392.217534808442,,
91092.0692,avg_unique_candidate_vectors_per_query,91092.0692,avg_unique_candidate_vectors_per_query,,316812.0,4619.0,deep1m,../experiments/adaptivf/deep1m/20260331-215253-863869__seed0,,,,,,,150.21331596374512,index_overhead_manifest,150.21331596374512,index_overhead_manifest,,AdaptIVF-m80,,29.072879725794653,,47.3203125,47.3203125,isolated_subprocess_rss_delta,701754.87890625,707021.8671875,5314.30859375,5266.98828125,0.9535399999999999,0,150.21331596374512,serving_footprint_manifest,10,417.48770640976727,,
