avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,build_total_s,computation_max,computation_min,dataset,experiment_dir,faiss_query_prep_s,faiss_search_s,faiss_total_query_s,hnsw_ef_search,hnsw_ndis_total,index_kind,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,k,method,nprobe,qps,queries_evaluated,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,probe_depth,train_s,selected_part,threshold
3768.53,avg_distance_computations_per_query,3768.53,avg_distance_computations_per_query,94.45960934832692,3768.53,3768.53,gist,../experiments/adaptivf/gist/20260331-075038-681683_hnsw_seed0,8.226558566093445e-05,0.12006654590368271,0.12014881148934364,128,3768530.0,hnsw,3921.6324672698975,index_overhead_manifest,3921.6324672698975,index_overhead_manifest,10,HNSW,10,8323.012001568513,1000,3971.0390625,3971.0390625,isolated_subprocess_rss_delta,7655.1640625,8321.8359375,4637.7109375,666.671875,0.9140000000000001,0,3921.6324672698975,serving_footprint_manifest,,,,
13966.409,avg_unique_candidate_vectors_per_query,13966.409,avg_unique_candidate_vectors_per_query,110.51614973135293,34044.0,2548.0,gist,../experiments/adaptivf/gist/20260331-075219-519211_ivf_seed0,7.5194984674453735e-06,0.17507096007466316,0.1750784795731306,,,ivf,3673.4968996047974,index_overhead_manifest,3673.4968996047974,index_overhead_manifest,10,IVF,10,5711.724264673536,1000,3675.5390625,3675.5390625,isolated_subprocess_rss_delta,9787.921875,10456.171875,4343.7890625,668.25,0.704,0,3673.4968996047974,serving_footprint_manifest,,,,
35859.491,avg_unique_candidate_vectors_per_query,35859.491,avg_unique_candidate_vectors_per_query,,38912.0,2869.0,gist,../experiments/adaptivf/gist/20260331-075434-495301_mlp_ivf_seed0,,,,,,,46.07431602478027,index_overhead_manifest,46.07431602478027,index_overhead_manifest,,MLP-IVF,,13.737808545116152,,41.58984375,41.58984375,isolated_subprocess_rss_delta,10657.6171875,19129.85546875,8513.828125,8472.23828125,0.7595999999999999,0,46.07431602478027,serving_footprint_manifest,10,2049.341676417738,,
35297.806,avg_unique_candidate_vectors_per_query,35297.806,avg_unique_candidate_vectors_per_query,,38912.0,3640.0,gist,../experiments/adaptivf/gist/20260331-083445-850218_bliss_seed0,,,,,,,46.07431602478027,index_overhead_manifest,46.07431602478027,index_overhead_manifest,,BLISS,,13.462082083864873,,41.671875,41.671875,isolated_subprocess_rss_delta,10663.7109375,19129.85546875,8507.81640625,8466.14453125,0.8312,0,46.07431602478027,serving_footprint_manifest,10,2026.3485632557422,,
882.616,avg_unique_candidate_vectors_per_query,882.616,avg_unique_candidate_vectors_per_query,,1727.0,100.0,gist,../experiments/adaptivf/gist/20260331-091232-517476_lira_seed0,,,,,,,7857.030849456787,index_overhead_manifest,7857.030849456787,index_overhead_manifest,,LIRA,10.353,133.66189461027747,,25.5546875,,isolated_subprocess_rss_delta,,,,,0.9156999999999957,0,7857.030849456787,serving_footprint_manifest,10,1216.4989955406636,1,0.8399998545646667
19034.864,avg_unique_candidate_vectors_per_query,19034.864,avg_unique_candidate_vectors_per_query,,19456.0,1226.0,gist,../experiments/adaptivf/gist/20260331-093304-559171_adaptivf_seed0,,,,,,,17.880544662475586,index_overhead_manifest,17.880544662475586,index_overhead_manifest,,AdaptIVF,,19.35019736943604,,33.62109375,33.62109375,isolated_subprocess_rss_delta,31161.55078125,39560.39453125,8432.46484375,8398.84375,0.5679000000000001,0,17.880544662475586,serving_footprint_manifest,10,519.5176111925393,,
13966.409,avg_unique_candidate_vectors_per_query,13966.409,avg_unique_candidate_vectors_per_query,136.00814212486148,34044.0,2548.0,gist,../experiments/adaptivf/gist/20260331-094556-648318_ivfpq_seed0,1.0326504707336426e-05,0.012945486232638359,0.012955812737345695,,,ivfpq,27.583857536315918,index_overhead_manifest,27.583857536315918,index_overhead_manifest,10,IVFPQ,10,77185.4317651147,1000,45.0390625,45.0390625,isolated_subprocess_rss_delta,38893.4296875,39560.39453125,712.00390625,666.96484375,0.171,0,27.583857536315918,serving_footprint_manifest,,,,
36027.404,avg_unique_candidate_vectors_per_query,36027.404,avg_unique_candidate_vectors_per_query,,38912.0,1819.0,gist,../experiments/adaptivf/gist/20260331-094833-341791_mlp_ivfpq_seed0,,,,,,,62.27084922790527,index_overhead_manifest,62.27084922790527,index_overhead_manifest,,MLP-IVFPQ,,6.961912809241386,,14.33984375,14.33984375,isolated_subprocess_rss_delta,31070.2578125,39560.39453125,8504.4765625,8490.13671875,0.5908,0,62.27084922790527,serving_footprint_manifest,10,2045.814212165773,,
19097.578,avg_unique_candidate_vectors_per_query,19097.578,avg_unique_candidate_vectors_per_query,,19456.0,1403.0,gist,../experiments/adaptivf/gist/20260331-103240-135786_adaptivfppq_seed0,,,,,,,34.008718490600586,index_overhead_manifest,34.008718490600586,index_overhead_manifest,,AdaptIVF+PQ,,8.937006971530508,,9.3203125,9.3203125,isolated_subprocess_rss_delta,31145.33984375,39560.39453125,8424.375,8415.0546875,0.4775,0,34.008718490600586,serving_footprint_manifest,10,519.1304218992591,,
104804.765,avg_unique_candidate_vectors_per_query,104804.765,avg_unique_candidate_vectors_per_query,,155648.0,914.0,gist,../experiments/adaptivf/gist/20260331-104922-003220__seed0,,,,,,,17.8474178314209,index_overhead_manifest,17.8474178314209,index_overhead_manifest,,AdaptIVF-m80,,9.275800949804342,,27.015625,27.015625,isolated_subprocess_rss_delta,31160.40234375,39560.39453125,8427.0078125,8399.9921875,0.9212,0,17.8474178314209,serving_footprint_manifest,10,518.1243184022605,,
103941.797,avg_unique_candidate_vectors_per_query,103941.797,avg_unique_candidate_vectors_per_query,,155648.0,1147.0,gist,../experiments/adaptivf/gist/20260331-110348-799334__seed0,,,,,,,34.04611015319824,index_overhead_manifest,34.04611015319824,index_overhead_manifest,,AdaptIVF+PQ-m80,,5.135837242295331,,10.71875,10.71875,isolated_subprocess_rss_delta,31144.6484375,39560.39453125,8426.46484375,8415.74609375,0.6609,0,34.04611015319824,serving_footprint_manifest,10,514.870352357626,,
