avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,build_total_s,computation_max,computation_min,dataset,experiment_dir,faiss_query_prep_s,faiss_search_s,faiss_total_query_s,hnsw_ef_search,hnsw_ndis_total,index_kind,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,k,method,nprobe,qps,queries_evaluated,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,probe_depth,train_s,selected_part,threshold
3011.6064,avg_distance_computations_per_query,3011.6064,avg_distance_computations_per_query,23.418987659737468,3011.6064,3011.6064,sift,../experiments/adaptivf/sift/20260331-040530-533367_hnsw_seed0,7.776543498039246e-05,0.21300431713461876,0.21308208256959915,128,30116064.0,hnsw,747.8043441772461,index_overhead_manifest,747.8043441772461,index_overhead_manifest,10,HNSW,10,46930.27156205728,10000,799.5390625,799.5390625,isolated_subprocess_rss_delta,1311.765625,1981.3984375,1469.171875,669.6328125,0.9955,0,747.8043441772461,serving_footprint_manifest,,,,
10756.3318,avg_unique_candidate_vectors_per_query,10756.3318,avg_unique_candidate_vectors_per_query,18.524490162730217,18956.0,5266.0,sift,../experiments/adaptivf/sift/20260331-040557-528874_ivf_seed0,6.560236215591431e-06,0.18478658609092236,0.18479314632713795,,,ivf,496.4187755584717,index_overhead_manifest,496.4187755584717,index_overhead_manifest,10,IVF,10,54114.561057892664,10000,528.8515625,528.8515625,isolated_subprocess_rss_delta,1407.57421875,2076.765625,1198.04296875,669.19140625,0.8745799999999999,0,496.4187755584717,serving_footprint_manifest,,,,
20367.7639,avg_unique_candidate_vectors_per_query,20367.7639,avg_unique_candidate_vectors_per_query,,38912.0,2261.0,sift,../experiments/adaptivf/sift/20260331-040622-770962_mlp_ivf_seed0,,,,,,,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,,MLP-IVF,,81.92136788909045,,27.64453125,27.64453125,isolated_subprocess_rss_delta,2475.3984375,4575.53515625,2127.78125,2100.13671875,0.9288400000000001,0,39.57431602478027,serving_footprint_manifest,10,1298.15316721797,,
38662.4617,avg_unique_candidate_vectors_per_query,38662.4617,avg_unique_candidate_vectors_per_query,,38912.0,2548.0,sift,../experiments/adaptivf/sift/20260331-043343-354931_bliss_seed0,,,,,,,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,,BLISS,,19.845276374289643,,31.546875,31.546875,isolated_subprocess_rss_delta,2479.5,4575.53515625,2127.58203125,2096.03515625,0.7297399999999999,0,39.57431602478027,serving_footprint_manifest,10,1304.50810595043,,
814.7266,avg_unique_candidate_vectors_per_query,814.7266,avg_unique_candidate_vectors_per_query,,2407.0,100.0,sift,../experiments/adaptivf/sift/20260331-051341-723193_lira_seed0,,,,,,,1509.3763542175293,index_overhead_manifest,1509.3763542175293,index_overhead_manifest,,LIRA,10.1501,457.319065959027,,169.39453125,,isolated_subprocess_rss_delta,,,,,0.9720299999999795,0,1509.3763542175293,serving_footprint_manifest,10,2541.3122820556164,1,0.7399998903274536
17451.4078,avg_unique_candidate_vectors_per_query,17451.4078,avg_unique_candidate_vectors_per_query,,19456.0,1065.0,sift,../experiments/adaptivf/sift/20260331-055628-714657_adaptivf_seed0,,,,,,,15.751691818237305,index_overhead_manifest,15.751691818237305,index_overhead_manifest,,AdaptIVF,,100.83249559336477,,16.9765625,16.9765625,isolated_subprocess_rss_delta,26506.1953125,28556.19921875,2066.98046875,2050.00390625,0.82457,0,15.751691818237305,serving_footprint_manifest,10,329.4186824671924,,
10756.3318,avg_unique_candidate_vectors_per_query,10756.3318,avg_unique_candidate_vectors_per_query,20.33576626330614,18956.0,5266.0,sift,../experiments/adaptivf/sift/20260331-060556-855042_ivfpq_seed0,4.697591066360474e-06,0.06419927626848221,0.06420397385954857,,,ivfpq,23.521355628967285,index_overhead_manifest,23.521355628967285,index_overhead_manifest,10,IVFPQ,10,155753.59901983352,10000,66.0859375,66.0859375,isolated_subprocess_rss_delta,27888.05859375,28556.19921875,734.2265625,668.140625,0.54615,0,23.521355628967285,serving_footprint_manifest,,,,
20509.2926,avg_unique_candidate_vectors_per_query,20509.2926,avg_unique_candidate_vectors_per_query,,38912.0,3248.0,sift,../experiments/adaptivf/sift/20260331-060623-151361_mlp_ivfpq_seed0,,,,,,,54.95834922790527,index_overhead_manifest,54.95834922790527,index_overhead_manifest,,MLP-IVFPQ,,19.658247140359503,,11.3359375,11.3359375,isolated_subprocess_rss_delta,26440.34765625,28556.19921875,2127.1875,2115.8515625,0.9278200000000001,0,54.95834922790527,serving_footprint_manifest,10,1304.0353912506253,,
17524.8362,avg_unique_candidate_vectors_per_query,17524.8362,avg_unique_candidate_vectors_per_query,,19456.0,1876.0,sift,../experiments/adaptivf/sift/20260331-064829-034780_adaptivfppq_seed0,,,,,,,31.15534019470215,index_overhead_manifest,31.15534019470215,index_overhead_manifest,,AdaptIVF+PQ,,19.76435141653545,,10.93359375,10.93359375,isolated_subprocess_rss_delta,26491.26953125,28556.19921875,2075.86328125,2064.9296875,0.8138799999999999,0,31.15534019470215,serving_footprint_manifest,10,315.9718669578433,,
31403.022,avg_unique_candidate_vectors_per_query,31403.022,avg_unique_candidate_vectors_per_query,,88889.0,1706.0,sift,../experiments/adaptivf/sift/20260331-071258-234483__seed0,,,,,,,15.783414840698242,index_overhead_manifest,15.783414840698242,index_overhead_manifest,,AdaptIVF-m80,,68.64887854212648,,41.02734375,41.02734375,isolated_subprocess_rss_delta,26505.53125,28556.19921875,2091.6953125,2050.66796875,0.9557399999999999,0,15.783414840698242,serving_footprint_manifest,10,312.88195244781673,,
31802.314,avg_unique_candidate_vectors_per_query,31802.314,avg_unique_candidate_vectors_per_query,,97356.0,2378.0,sift,../experiments/adaptivf/sift/20260331-072254-583581__seed0,,,,,,,31.15846824645996,index_overhead_manifest,31.15846824645996,index_overhead_manifest,,AdaptIVF+PQ-m80,,16.64495426271544,,12.390625,12.390625,isolated_subprocess_rss_delta,26490.09765625,28556.19921875,2078.4921875,2066.1015625,0.9544799999999999,0,31.15846824645996,serving_footprint_manifest,10,311.6186655666679,,
