avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,dataset,experiment_dir,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,method,probe_depth,qps,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,train_s
14553.106,avg_unique_candidate_vectors_per_query,14553.106,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS,5,67.17532010754282,11.6796875,11.6796875,isolated_subprocess_rss_delta,1152.140625,3155.6875,2015.2265625,2003.546875,0.714,0,44.95596885681152,serving_footprint_manifest,1256.0157495252788
30015.406,avg_unique_candidate_vectors_per_query,30015.406,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS,10,50.71958021686466,23.46875,23.46875,isolated_subprocess_rss_delta,1175.23828125,3178.5,2026.73046875,2003.26171875,0.8188000000000001,0,44.95596885681152,serving_footprint_manifest,1256.0157495252788
60439.587,avg_unique_candidate_vectors_per_query,60439.587,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS,20,29.260888258430192,39.09765625,39.09765625,isolated_subprocess_rss_delta,1212.83203125,3214.96875,2041.234375,2002.13671875,0.8967999999999999,0,44.95596885681152,serving_footprint_manifest,1256.0157495252788
120563.751,avg_unique_candidate_vectors_per_query,120563.751,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-144721-815228_bliss_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS,40,15.831701484440664,40.75,40.75,isolated_subprocess_rss_delta,1247.83203125,3250.578125,2043.49609375,2002.74609375,0.952,0,44.95596885681152,serving_footprint_manifest,1256.0157495252788
13422.032,avg_unique_candidate_vectors_per_query,13422.032,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS-KMeans,5,114.66372451586847,10.46484375,10.46484375,isolated_subprocess_rss_delta,1358.58203125,3361.8046875,2013.6875,2003.22265625,0.7282000000000001,0,44.95596885681152,serving_footprint_manifest,1262.7290538642555
26911.479,avg_unique_candidate_vectors_per_query,26911.479,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS-KMeans,10,58.101441550115595,21.26953125,21.26953125,isolated_subprocess_rss_delta,1358.2578125,3361.8125,2024.82421875,2003.5546875,0.8252,0,44.95596885681152,serving_footprint_manifest,1262.7290538642555
51997.105,avg_unique_candidate_vectors_per_query,51997.105,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS-KMeans,20,31.098860643722798,37.22265625,37.22265625,isolated_subprocess_rss_delta,1397.3046875,3401.13671875,2041.0546875,2003.83203125,0.896,0,44.95596885681152,serving_footprint_manifest,1262.7290538642555
98618.668,avg_unique_candidate_vectors_per_query,98618.668,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-151344-950415_bliss_kmeans_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,BLISS-KMeans,40,20.078059109020245,62.28125,62.28125,isolated_subprocess_rss_delta,1430.53125,3434.203125,2065.953125,2003.671875,0.9439000000000001,0,44.95596885681152,serving_footprint_manifest,1262.7290538642555
12315.101,avg_unique_candidate_vectors_per_query,12315.101,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,MLP-IVF,5,96.59030105702969,11.47265625,11.47265625,isolated_subprocess_rss_delta,1426.83203125,3434.203125,2018.84375,2007.37109375,0.7225,0,44.95596885681152,serving_footprint_manifest,1258.345546239987
24905.301,avg_unique_candidate_vectors_per_query,24905.301,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,MLP-IVF,10,57.220250135406154,22.734375,22.734375,isolated_subprocess_rss_delta,1425.9765625,3434.203125,2030.9609375,2008.2265625,0.8218,0,44.95596885681152,serving_footprint_manifest,1258.345546239987
48398.968,avg_unique_candidate_vectors_per_query,48398.968,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,MLP-IVF,20,35.89739484938831,60.68359375,60.68359375,isolated_subprocess_rss_delta,1425.7578125,3434.203125,2069.12890625,2008.4453125,0.8913,0,44.95596885681152,serving_footprint_manifest,1258.345546239987
92642.355,avg_unique_candidate_vectors_per_query,92642.355,avg_unique_candidate_vectors_per_query,glove,../experiments/adaptivf/glove/20260326-154004-202368_mlp_ivf_seed0,44.95596885681152,index_overhead_manifest,44.95596885681152,index_overhead_manifest,MLP-IVF,40,20.838722581782438,38.5078125,38.5078125,isolated_subprocess_rss_delta,1438.71875,3447.42578125,2047.21484375,2008.70703125,0.9414000000000001,0,44.95596885681152,serving_footprint_manifest,1258.345546239987
