avg_candidates,avg_candidates_mode,avg_computations,avg_computations_mode,dataset,experiment_dir,index_overhead_mb,index_overhead_mode,index_size_mb,index_size_mode,method,probe_depth,qps,query_mem_delta_mb,query_mem_delta_mb_isolated,query_mem_delta_mode,query_mem_peak_delta_mb,query_mem_peak_rss_mb,query_mem_rss_after_mb,query_mem_rss_before_mb,recall_at_10,seed,serving_footprint_mb,serving_footprint_mode,train_s
19229.6825,avg_unique_candidate_vectors_per_query,19229.6825,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS,5,27.330487049142626,19.52734375,19.52734375,isolated_subprocess_rss_delta,1214.8046875,3354.13671875,2158.859375,2139.33203125,0.63741,0,39.57431602478027,serving_footprint_manifest,1284.7213507667184
38735.7808,avg_unique_candidate_vectors_per_query,38735.7808,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS,10,15.862099353797596,30.93359375,30.93359375,isolated_subprocess_rss_delta,1215.40625,3354.60546875,2170.1328125,2139.19921875,0.6757700000000001,0,39.57431602478027,serving_footprint_manifest,1284.7213507667184
77762.3011,avg_unique_candidate_vectors_per_query,77762.3011,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS,20,11.094904528980882,47.35546875,47.35546875,isolated_subprocess_rss_delta,1217.10546875,3354.796875,2185.046875,2137.69140625,0.65765,0,39.57431602478027,serving_footprint_manifest,1284.7213507667184
155646.1378,avg_unique_candidate_vectors_per_query,155646.1378,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-160604-925322_bliss_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS,40,7.692172701387228,12.88671875,12.88671875,isolated_subprocess_rss_delta,1237.5546875,3375.296875,2150.62890625,2137.7421875,0.7321700000000001,0,39.57431602478027,serving_footprint_manifest,1284.7213507667184
10797.1316,avg_unique_candidate_vectors_per_query,10797.1316,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS-KMeans,5,118.94696943466653,15.83203125,15.83203125,isolated_subprocess_rss_delta,1389.11328125,3528.68359375,2155.40234375,2139.5703125,0.81742,0,39.57431602478027,serving_footprint_manifest,1246.1061826292425
21401.6182,avg_unique_candidate_vectors_per_query,21401.6182,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS-KMeans,10,71.90743528146305,26.87890625,26.87890625,isolated_subprocess_rss_delta,1389.703125,3528.93359375,2166.109375,2139.23046875,0.92811,0,39.57431602478027,serving_footprint_manifest,1246.1061826292425
39653.0158,avg_unique_candidate_vectors_per_query,39653.0158,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS-KMeans,20,39.77772466749315,44.43359375,44.43359375,isolated_subprocess_rss_delta,1390.51953125,3529.02734375,2182.94140625,2138.5078125,0.9787900000000002,0,39.57431602478027,serving_footprint_manifest,1246.1061826292425
71229.6048,avg_unique_candidate_vectors_per_query,71229.6048,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-190720-242269_bliss_kmeans_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,BLISS-KMeans,40,22.468304974297656,45.59375,45.59375,isolated_subprocess_rss_delta,1392.20703125,3529.03125,2182.41796875,2136.82421875,0.99508,0,39.57431602478027,serving_footprint_manifest,1246.1061826292425
10161.5146,avg_unique_candidate_vectors_per_query,10161.5146,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,MLP-IVF,5,163.78877304186273,15.90234375,15.90234375,isolated_subprocess_rss_delta,1411.97265625,3553.84375,2157.7734375,2141.87109375,0.81978,0,39.57431602478027,serving_footprint_manifest,1266.8188193030655
20044.733,avg_unique_candidate_vectors_per_query,20044.733,avg_unique_candidate_vectors_per_query,sift,../experiments/adaptivf/sift/20260326-195959-742028_mlp_ivf_seed0,39.57431602478027,index_overhead_manifest,39.57431602478027,index_overhead_manifest,MLP-IVF,10,79.18898942886157,26.203125,26.203125,isolated_subprocess_rss_delta,1410.234375,3553.85546875,2169.82421875,2143.62109375,0.9272100000000001,0,39.57431602478027,serving_footprint_manifest,1266.8188193030655
