dataset,method,probe_depth,recall_at_10,avg_computations,computation_min,computation_max,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,rss_baseline_mb,rss_serving_mb,rss_peak_mb,method_overhead_mb,build_total_s,train_s,threshold,nprobe,selected_part,n_runs
deep1m,AdaptIVF,10.0,0.82225,45628.0662,7235.0,48128.0,38.53879600462786,150.14933586120603,150.14933586120603,150.14933586120603,30.19921875,10.76171875,3840.31640625,3878.05859375,3829.5546875,,400.1450391616672,,,,1
deep1m,AdaptIVF+PQ,10.0,0.81323,45659.8056,8730.0,48128.0,5.6103510686804885,302.8223705291748,302.8223705291748,302.8223705291748,16.08203125,10.7890625,3992.98828125,4030.94140625,3982.19921875,,392.217534808442,,,,1
deep1m,AdaptIVF+PQ-m80,10.0,0.93447,90909.2026,7511.0,313345.0,4.001997143353528,302.7831401824951,302.7831401824951,302.7831401824951,11.984375,10.8359375,3992.9375,4030.74609375,3982.1015625,,415.8568005040288,,,,1
deep1m,AdaptIVF-m80,10.0,0.95354,91092.0692,4619.0,316812.0,29.072879725794653,150.21331596374512,150.21331596374512,150.21331596374512,47.3203125,10.7421875,3840.484375,3878.421875,3829.7421875,,417.48770640976727,,,,1
deep1m,BLISS,10.0,0.92407,46997.3694,5062.0,97280.0,37.65310379904095,337.8179683685303,337.8179683685303,337.8179683685303,45.0859375,10.76171875,3888.32421875,3926.1796875,3877.5625,,1580.9653638135642,,,,1
deep1m,HNSW,,0.98095,3722.4322,3722.4322,3722.4322,59596.56699402817,6251.078572273254,6251.078572273254,6251.078572273254,6860.140625,10.7890625,6292.125,6292.125,6281.3359375,224.6371586639434,,,10.0,,1
deep1m,IVF,,0.8571799999999999,29643.6297,9252.0,77368.0,27520.5549674748,3736.196482658386,3736.196482658386,3736.196482658386,3754.98046875,10.79296875,3781.1953125,3781.1953125,3770.40234375,141.96408031135798,,,10.0,,1
deep1m,IVFPQ,,0.45575,29643.6297,9252.0,77368.0,101208.7955943794,230.2783145904541,230.2783145904541,230.2783145904541,313.07421875,10.796875,336.125,336.125,325.328125,155.52173998206854,,,10.0,,1
deep1m,LIRA,10.0,0.9316499999999815,814.0971,0.0,2969.0,324.6498273359173,12628.923320770264,12628.923320770264,12628.923320770264,799.21875,10.80078125,4291.94921875,4300.9765625,4281.1484375,,12026.539181966336,0.7599998712539673,10.0202,1.0,1
gist,AdaptIVF,10.0,0.5679000000000001,19034.864,1226.0,19456.0,19.35019736943604,17.880544662475586,17.880544662475586,17.880544662475586,33.62109375,10.7578125,3716.140625,3719.640625,3705.3828125,,519.5176111925393,,,,1
gist,AdaptIVF+PQ,10.0,0.4775,19097.578,1403.0,19456.0,8.937006971530508,34.008718490600586,34.008718490600586,34.008718490600586,9.3203125,10.76171875,3732.34375,3736.046875,3721.58203125,,519.1304218992591,,,,1
gist,AdaptIVF+PQ-m80,10.0,0.6609,103941.797,1147.0,155648.0,5.135837242295331,34.04611015319824,34.04611015319824,34.04611015319824,10.71875,10.31640625,3731.95703125,3735.65625,3721.640625,,514.870352357626,,,,1
gist,AdaptIVF-m80,10.0,0.9212,104804.765,914.0,155648.0,9.275800949804342,17.8474178314209,17.8474178314209,17.8474178314209,27.015625,10.75390625,3715.5859375,3719.11328125,3704.83203125,,518.1243184022605,,,,1
gist,BLISS,10.0,0.8312,35297.806,3640.0,38912.0,13.462082083864871,46.07431602478027,46.07431602478027,46.07431602478027,41.671875,10.76171875,3724.765625,3724.86328125,3714.00390625,,2026.3485632557424,,,,1
gist,HNSW,,0.914,3768.53,3768.53,3768.53,8323.012001568513,3921.6324672698975,3921.6324672698975,3921.6324672698975,3971.0390625,10.828125,3962.6875,3962.6875,3951.859375,94.45960934832692,,,10.0,,1
gist,IVF,,0.704,13966.409,2548.0,34044.0,5711.724264673536,3673.496899604797,3673.496899604797,3673.496899604797,3675.5390625,10.80078125,3716.671875,3716.671875,3705.87109375,110.51614973135293,,,10.0,,1
gist,IVFPQ,,0.171,13966.409,2548.0,34044.0,77185.4317651147,27.58385753631592,27.58385753631592,27.58385753631592,45.0390625,10.80078125,84.66796875,84.66796875,73.8671875,136.00814212486148,,,10.0,,1
gist,LIRA,10.0,0.9156999999999956,882.616,100.0,1727.0,133.66189461027747,7857.030849456787,7857.030849456787,7857.030849456787,25.5546875,10.82421875,4235.6953125,4306.625,4224.87109375,,1216.4989955406636,0.8399998545646667,10.353,1.0,1
glove,AdaptIVF,10.0,0.7363000000000001,21446.676,3984.0,22528.0,62.61077149239082,19.3341121673584,19.3341121673584,19.3341121673584,12.09375,10.7578125,508.9453125,513.1484375,498.1875,,324.61144667863846,,,,1
glove,AdaptIVF+PQ,10.0,0.6916,21445.201,2385.0,22528.0,7.464637428208306,37.48837089538574,37.48837089538574,37.48837089538574,10.22265625,10.7421875,527.5546875,531.1875,516.8125,,322.6825122963637,,,,1
glove,AdaptIVF+PQ-m80,10.0,0.8006,54322.774,4168.0,184320.0,5.652335501983553,37.51215171813965,37.51215171813965,37.51215171813965,15.21484375,10.7890625,527.19140625,531.5625,516.40234375,,327.23407011665404,,,,1
glove,AdaptIVF-m80,10.0,0.9127,53773.26,4338.0,178023.0,47.93813233783351,19.292707443237305,19.292707443237305,19.292707443237305,38.21875,10.76171875,508.7578125,512.921875,497.99609375,,320.73484151624143,,,,1
glove,BLISS,10.0,0.814,30123.91,2895.0,46080.0,23.508363834757063,44.95596885681152,44.95596885681152,44.95596885681152,24.0703125,10.7578125,518.32421875,518.39453125,507.56640625,,1726.9692732635883,,,,1
glove,HNSW,,0.8967999999999999,4866.72,4866.72,4866.72,33648.711483487794,758.6481781005859,758.6481781005859,758.6481781005859,824.50390625,10.8515625,799.79296875,799.79296875,788.94140625,39.167506352066994,,,10.0,,1
glove,IVF,,0.7494000000000001,12340.548,7230.0,20566.0,40545.62857587791,460.9030113220215,460.9030113220215,460.9030113220215,461.5390625,10.796875,502.11328125,502.11328125,491.31640625,25.30277081206441,,,10.0,,1
glove,IVFPQ,,0.3785,12329.263,6598.0,20481.0,128205.652148164,27.64353370666504,27.64353370666504,27.64353370666504,45.03515625,10.82421875,84.7734375,84.7734375,73.94921875,18.410748226568103,,,10.0,,1
glove,LIRA,10.0,0.8745999999999976,819.606,0.0,2529.0,279.32952405832043,1531.3048210144043,1531.3048210144043,1531.3048210144043,24.95703125,10.796875,1000.2109375,1009.7109375,989.4140625,,22874.030454328284,0.5999999046325684,9.948,1.0,1
sift,AdaptIVF,10.0,0.82457,17451.4078,1065.0,19456.0,100.83249559336475,15.751691818237305,15.751691818237305,15.751691818237305,16.9765625,10.7578125,542.1484375,545.3203125,531.390625,,329.4186824671924,,,,1
sift,AdaptIVF+PQ,10.0,0.8138799999999999,17524.8362,1876.0,19456.0,19.76435141653545,31.15534019470215,31.15534019470215,31.15534019470215,10.93359375,10.76171875,557.66015625,561.421875,546.8984375,,315.9718669578433,,,,1
sift,AdaptIVF+PQ-m80,10.0,0.95448,31802.314,2378.0,97356.0,16.64495426271544,31.15846824645996,31.15846824645996,31.15846824645996,12.390625,10.76171875,557.734375,561.1796875,546.97265625,,311.6186655666679,,,,1
sift,AdaptIVF-m80,10.0,0.95574,31403.022,1706.0,88889.0,68.64887854212648,15.783414840698242,15.783414840698242,15.783414840698242,41.02734375,10.83984375,542.29296875,545.66015625,531.453125,,312.8819524478168,,,,1
sift,BLISS,10.0,0.7297399999999999,38662.4617,2548.0,38912.0,19.845276374289643,39.57431602478027,39.57431602478027,39.57431602478027,31.546875,10.7890625,550.78125,550.94140625,539.9921875,,1304.50810595043,,,,1
sift,HNSW,,0.9955,3011.6064,3011.6064,3011.6064,46930.27156205728,747.8043441772461,747.8043441772461,747.8043441772461,799.5390625,10.80078125,788.63671875,788.63671875,777.8359375,23.418987659737468,,,10.0,,1
sift,IVF,,0.8745799999999999,10756.3318,5266.0,18956.0,54114.56105789266,496.4187755584717,496.4187755584717,496.4187755584717,528.8515625,10.79296875,537.64453125,537.64453125,526.8515625,18.524490162730217,,,10.0,,1
sift,IVFPQ,,0.54615,10756.3318,5266.0,18956.0,155753.59901983352,23.521355628967285,23.521355628967285,23.521355628967285,66.0859375,10.7890625,80.62890625,80.62890625,69.83984375,20.33576626330614,,,10.0,,1
sift,LIRA,10.0,0.9720299999999796,814.7266,100.0,2407.0,457.319065959027,1509.3763542175293,1509.3763542175293,1509.3763542175293,169.39453125,10.796875,1031.7265625,1035.9921875,1020.9296875,,2541.3122820556164,0.7399998903274536,10.1501,1.0,1
