dataset,method,probe_depth,recall_at_10,avg_computations,computation_min,computation_max,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,rss_baseline_mb,rss_serving_mb,rss_peak_mb,method_overhead_mb,build_total_s,train_s,threshold,nprobe,selected_part,n_runs,recall_score,compute_efficiency,storage_efficiency,score_sum,recall_weight,compute_weight,storage_weight,plot_x,plot_y
glove,AdaptIVF,10.0,0.7363000000000001,21446.676,3984.0,22528.0,62.61077149239082,19.3341121673584,19.3341121673584,19.3341121673584,12.09375,10.7578125,508.9453125,513.1484375,498.1875,,324.61144667863846,,,,1,0.8067272926481868,0.03821599207261769,0.9978584626093668,1.8428017473301712,0.43777215526139124,0.02073798341464813,0.5414898613239607,0.7603759389546563,0.3791218075258303
glove,AdaptIVF+PQ,10.0,0.6916,21445.201,2385.0,22528.0,7.464637428208306,37.48837089538574,37.48837089538574,37.48837089538574,10.22265625,10.7421875,527.5546875,531.1875,516.8125,,322.6825122963637,,,,1,0.7577517256491728,0.038218620566904456,0.5146317906711692,1.3106021368872465,0.5781706776771138,0.029161115712565387,0.39266820661032076,0.6817535454488777,0.500710494591645
glove,AdaptIVF+PQ-m80,10.0,0.8006,54322.774,4168.0,184320.0,5.652335501983553,37.51215171813965,37.51215171813965,37.51215171813965,15.21484375,10.7890625,527.19140625,531.5625,516.40234375,,327.23407011665404,,,,1,0.8771776049085133,0.015087705204450717,0.5143055399274252,1.406570850040389,0.6236284541822585,0.010726587433556922,0.3656449583841846,0.6774591854753138,0.5400780838446557
glove,AdaptIVF-m80,10.0,0.9127,53773.26,4338.0,178023.0,47.93813233783351,19.292707443237305,19.292707443237305,19.292707443237305,38.21875,10.76171875,508.7578125,512.921875,497.99609375,,320.73484151624143,,,,1,1.0,0.015241887882564678,1.0,2.0152418878825644,0.49621834778886537,0.007563304422269372,0.49621834778886537,0.7443275216832981,0.4297376950090991
glove,BLISS,10.0,0.814,30123.91,2895.0,46080.0,23.508363834757063,44.95596885681152,44.95596885681152,44.95596885681152,24.0703125,10.7578125,518.32421875,518.39453125,507.56640625,,1726.9692732635883,,,,1,0.891859318505533,0.0272078226232916,0.42914673921690294,1.3482138803457275,0.6615117463980049,0.020180642715467812,0.3183076108865273,0.6490634840855298,0.5728859772824814
glove,HNSW,,0.8967999999999999,4866.72,4866.72,4866.72,33648.711483487794,758.6481781005859,758.6481781005859,758.6481781005859,824.50390625,10.8515625,799.79296875,799.79296875,788.94140625,39.167506352066994,,,10.0,,1,0.9825791607318943,0.16841034618798698,0.02543037471142436,1.1764198816313056,0.835228285473535,0.14315496432656125,0.021616750199903823,0.43923089293667134,0.7233289131794025
glove,IVF,,0.7494000000000001,12340.548,7230.0,20566.0,40545.62857587791,460.9030113220215,460.9030113220215,460.9030113220215,461.5390625,10.796875,502.11328125,502.11328125,491.31640625,25.30277081206441,,,10.0,,1,0.8210803111646764,0.06641568915740208,0.041858497274512206,0.9293544975965906,0.8834952790222431,0.07146432209577734,0.04504039888197962,0.4867880383931012,0.7651293557568833
glove,IVFPQ,,0.3785,12329.263,6598.0,20481.0,128205.652148164,27.64353370666504,27.64353370666504,27.64353370666504,45.03515625,10.82421875,84.7734375,84.7734375,73.94921875,18.410748226568103,,,10.0,,1,0.4147036266023885,0.06647647957546204,0.6979103195690827,1.1790904257469332,0.35171486219106646,0.056379458372202755,0.5919056794367308,0.767763110532264,0.3045940055460065
glove,LIRA,10.0,0.8745999999999976,819.606,0.0,2529.0,279.32952405832043,1531.3048210144043,1531.3048210144043,1531.3048210144043,24.95703125,10.796875,1000.2109375,1009.7109375,989.4140625,,22874.030454328284,0.5999999046325684,9.948,1.0,1,0.95825572477265,1.0,0.012598868088495247,1.9708545928611452,0.48621330474792823,0.5073941038685517,0.006392591383520138,0.24949924375748425,0.42107307356969087
sift,AdaptIVF,10.0,0.82457,17451.4078,1065.0,19456.0,100.83249559336475,15.751691818237305,15.751691818237305,15.751691818237305,16.9765625,10.7578125,542.1484375,545.3203125,531.390625,,329.4186824671924,,,,1,0.828297338021095,0.04668543703391081,1.0,1.8749827750550057,0.4417626385910641,0.024899128490682383,0.5333382329182536,0.7542195522137856,0.38257766746270533
sift,AdaptIVF+PQ,10.0,0.8138799999999999,17524.8362,1876.0,19456.0,19.76435141653545,31.15534019470215,31.15534019470215,31.15534019470215,10.93359375,10.76171875,557.66015625,561.421875,546.8984375,,315.9718669578433,,,,1,0.8175590155700652,0.0464898268207494,0.5055856145302442,1.3696344569210588,0.5969176749597405,0.033943236887642725,0.3691390881526168,0.6675979256324871,0.5169458704830775
