rss_baseline_mb,rss_serving_mb,rss_peak_mb,method_overhead_mb,experiment,method,dataset
10.76171875,3840.31640625,3878.05859375,3829.5546875,../experiments/adaptivf/deep1m/20260331-174055-963868_adaptivf_seed0,AdaptIVF,deep1m
10.7890625,3992.98828125,4030.94140625,3982.19921875,../experiments/adaptivf/deep1m/20260331-202845-291456_adaptivfppq_seed0,AdaptIVF+PQ,deep1m
10.8359375,3992.9375,4030.74609375,3982.1015625,../experiments/adaptivf/deep1m/20260331-222538-827157__seed0,AdaptIVF+PQ-m80,deep1m
10.7421875,3840.484375,3878.421875,3829.7421875,../experiments/adaptivf/deep1m/20260331-215253-863869__seed0,AdaptIVF-m80,deep1m
10.76171875,3888.32421875,3926.1796875,3877.5625,../experiments/adaptivf/deep1m/20260331-125939-900052_bliss_seed0,BLISS,deep1m
10.7890625,6292.125,6292.125,6281.3359375,../experiments/adaptivf/deep1m/20260331-112312-428949_hnsw_seed0,HNSW,deep1m
10.79296875,3781.1953125,3781.1953125,3770.40234375,../experiments/adaptivf/deep1m/20260331-112707-730611_ivf_seed0,IVF,deep1m
10.796875,336.125,336.125,325.328125,../experiments/adaptivf/deep1m/20260331-181134-536598_ivfpq_seed0,IVFPQ,deep1m
10.80078125,4291.94921875,4300.9765625,4281.1484375,../experiments/adaptivf/deep1m/20260331-141944-714264_lira_seed0,LIRA,deep1m
10.76171875,3889.19140625,3927.27734375,3878.4296875,../experiments/adaptivf/deep1m/20260331-113111-622887_mlp_ivf_seed0,MLP-IVF,deep1m
10.75,4041.76171875,4079.5078125,4031.01171875,../experiments/adaptivf/deep1m/20260331-181551-003920_mlp_ivfpq_seed0,MLP-IVFPQ,deep1m
10.7578125,3716.140625,3719.640625,3705.3828125,../experiments/adaptivf/gist/20260331-093304-559171_adaptivf_seed0,AdaptIVF,gist
10.76171875,3732.34375,3736.046875,3721.58203125,../experiments/adaptivf/gist/20260331-103240-135786_adaptivfppq_seed0,AdaptIVF+PQ,gist
10.31640625,3731.95703125,3735.65625,3721.640625,../experiments/adaptivf/gist/20260331-110348-799334__seed0,AdaptIVF+PQ-m80,gist
