dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,threshold,nprobe,selected_part,n_runs
deep1m,AdaptIVF,10.0,0.82225,45628.0662,38.53879600462786,150.14933586120603,150.14933586120603,150.14933586120603,30.19921875,400.1450391616672,nan,nan,nan,1
deep1m,AdaptIVF+PQ,10.0,0.81323,45659.8056,5.6103510686804885,302.8223705291748,302.8223705291748,302.8223705291748,16.08203125,392.217534808442,nan,nan,nan,1
deep1m,AdaptIVF+PQ-m80,10.0,0.93447,90909.2026,4.001997143353528,302.7831401824951,302.7831401824951,302.7831401824951,11.984375,415.8568005040288,nan,nan,nan,1
deep1m,AdaptIVF-m80,10.0,0.95354,91092.0692,29.072879725794653,150.21331596374512,150.21331596374512,150.21331596374512,47.3203125,417.48770640976727,nan,nan,nan,1
deep1m,BLISS,10.0,0.92407,46997.3694,37.65310379904095,337.8179683685303,337.8179683685303,337.8179683685303,45.0859375,1580.9653638135642,nan,nan,nan,1
deep1m,HNSW,nan,0.98095,3722.4322,59596.56699402817,6251.078572273254,6251.078572273254,6251.078572273254,6860.140625,nan,nan,10.0,nan,1
deep1m,IVF,nan,0.8571799999999999,29643.6297,27520.5549674748,3736.196482658386,3736.196482658386,3736.196482658386,3754.98046875,nan,nan,10.0,nan,1
deep1m,IVFPQ,nan,0.45575,29643.6297,101208.7955943794,230.2783145904541,230.2783145904541,230.2783145904541,313.07421875,nan,nan,10.0,nan,1
deep1m,LIRA,10.0,0.9316499999999815,814.0971,324.6498273359173,12628.923320770264,12628.923320770264,12628.923320770264,799.21875,12026.539181966336,0.7599998712539673,10.0202,1.0,1
deep1m,MLP-IVF,10.0,0.90218,54107.902,33.98959995536423,337.8179683685303,337.8179683685303,337.8179683685303,45.140625,1603.678483005613,nan,nan,nan,1
deep1m,MLP-IVFPQ,10.0,0.8884,54232.5241,6.194160991391768,490.3472652435303,490.3472652435303,490.3472652435303,12.55078125,1588.7693817541003,nan,nan,nan,1
gist,AdaptIVF,10.0,0.5679000000000001,19034.864,19.35019736943604,17.880544662475586,17.880544662475586,17.880544662475586,33.62109375,519.5176111925393,nan,nan,nan,1
gist,AdaptIVF+PQ,10.0,0.4775,19097.578,8.937006971530508,34.008718490600586,34.008718490600586,34.008718490600586,9.3203125,519.1304218992591,nan,nan,nan,1
gist,AdaptIVF+PQ-m80,10.0,0.6609,103941.797,5.135837242295331,34.04611015319824,34.04611015319824,34.04611015319824,10.71875,514.870352357626,nan,nan,nan,1
gist,AdaptIVF-m80,10.0,0.9212,104804.765,9.275800949804342,17.8474178314209,17.8474178314209,17.8474178314209,27.015625,518.1243184022605,nan,nan,nan,1
gist,BLISS,10.0,0.8312,35297.806,13.462082083864871,46.07431602478027,46.07431602478027,46.07431602478027,41.671875,2026.3485632557424,nan,nan,nan,1
gist,HNSW,nan,0.914,3768.53,8323.012001568513,3921.6324672698975,3921.6324672698975,3921.6324672698975,3971.0390625,nan,nan,10.0,nan,1
gist,IVF,nan,0.704,13966.409,5711.724264673536,3673.496899604797,3673.496899604797,3673.496899604797,3675.5390625,nan,nan,10.0,nan,1
gist,IVFPQ,nan,0.171,13966.409,77185.4317651147,27.58385753631592,27.58385753631592,27.58385753631592,45.0390625,nan,nan,10.0,nan,1
gist,LIRA,10.0,0.9156999999999956,882.616,133.66189461027747,7857.030849456787,7857.030849456787,7857.030849456787,25.5546875,1216.4989955406636,0.8399998545646667,10.353,1.0,1
gist,MLP-IVF,10.0,0.7595999999999999,35859.491,13.737808545116152,46.07431602478027,46.07431602478027,46.07431602478027,41.58984375,2049.341676417738,nan,nan,nan,1
gist,MLP-IVFPQ,10.0,0.5908,36027.404,6.961912809241386,62.27084922790527,62.27084922790527,62.27084922790527,14.33984375,2045.814212165773,nan,nan,nan,1
glove,AdaptIVF,10.0,0.7363000000000001,21446.676,62.61077149239082,19.3341121673584,19.3341121673584,19.3341121673584,12.09375,324.61144667863846,nan,nan,nan,1
