dataset,method,probe_depth,recall_at_10,avg_computations,qps,index_size_mb,index_overhead_mb,serving_footprint_mb,query_mem_delta_mb,train_s,n_runs
deep1m,AdaptIVF,10.0,0.8246100000000001,45705.6552,24.16149278430808,150.29891777038574,150.29891777038574,150.29891777038574,31.3359375,466.2762647960335,1
deep1m,AdaptIVF+PQ,10.0,0.8130400000000001,45664.0727,4.58727504007675,302.72875022888184,302.72875022888184,302.72875022888184,17.40234375,1131.8746434058994,1
deep1m,AdaptIVF-A4,10.0,0.81513,46917.0176,16.849394260572698,183.0120334625244,183.0120334625244,183.0120334625244,30.05078125,487.3279815353453,1
deep1m,AdaptIVF-A4+PQ,10.0,0.80489,46870.0105,4.477424946991834,335.7848606109619,335.7848606109619,335.7848606109619,15.01953125,1137.8560253717003,1
deep1m,AdaptIVF-Static,10.0,0.8347400000000001,44395.2458,45.16418473176283,142.33410453796387,142.33410453796387,142.33410453796387,33.54296875,397.9433570001274,1
deep1m,AdaptIVF-Static+PQ,10.0,0.8253799999999999,44387.0644,4.502156285898986,294.8496150970459,294.8496150970459,294.8496150970459,15.02734375,1103.1027411408722,1
gist,AdaptIVF,10.0,0.5757000000000001,19008.611,19.698190617062306,17.863813400268555,17.863813400268555,17.863813400268555,34.41796875,513.1417149137706,1
gist,AdaptIVF+PQ,10.0,0.4705999999999999,19031.098,8.839950580864084,34.016279220581055,34.016279220581055,34.016279220581055,7.9765625,510.873660184443,1
gist,AdaptIVF-A4,10.0,0.5814000000000001,19152.567,18.207994531681216,21.0221004486084,21.0221004486084,21.0221004486084,28.76171875,502.9964439999312,1
gist,AdaptIVF-A4+PQ,10.0,0.4797,19161.438,8.966495624063924,37.20447731018066,37.20447731018066,37.20447731018066,9.2265625,518.0485776625574,1
gist,AdaptIVF-Static,10.0,0.6727000000000001,18308.329,21.06614493946335,17.82131004333496,17.82131004333496,17.82131004333496,34.703125,458.4380290005356,1
gist,AdaptIVF-Static+PQ,10.0,0.5611,18306.578,9.50283943058859,34.05169486999512,34.05169486999512,34.05169486999512,8.79296875,462.3235163204372,1
glove,AdaptIVF,10.0,0.7425,21401.314,60.96490076831715,19.311140060424805,19.311140060424805,19.311140060424805,12.1953125,324.5110802073032,1
glove,AdaptIVF+PQ,10.0,0.6936,21450.584,7.42033878843755,37.48205375671387,37.48205375671387,37.48205375671387,9.140625,325.37086472287774,1
glove,AdaptIVF-A4,10.0,0.735,21818.886,64.00423248813901,23.33839988708496,23.33839988708496,23.33839988708496,20.5,325.6390211880207,1
glove,AdaptIVF-A4+PQ,10.0,0.6798,21885.807,7.240487246751025,41.52728843688965,41.52728843688965,41.52728843688965,11.140625,316.5598610676825,1
glove,AdaptIVF-Static,10.0,0.7341000000000001,21042.07,78.17747142557769,18.296384811401367,18.296384811401367,18.296384811401367,12.96875,300.5280313752592,1
glove,AdaptIVF-Static+PQ,10.0,0.6825999999999999,20997.903,7.03474623801216,36.469953536987305,36.469953536987305,36.469953536987305,8.72265625,291.0932284072041,1
sift,AdaptIVF,10.0,0.81726,17419.1798,99.59565930112063,15.766180038452148,15.766180038452148,15.766180038452148,17.26171875,321.3586674146354,1
sift,AdaptIVF+PQ,10.0,0.81486,17493.077,19.68073586118976,31.160741806030277,31.160741806030277,31.160741806030277,10.88671875,328.8107179645449,1
sift,AdaptIVF-A4,10.0,0.80391,18209.0239,88.19032565440554,18.7785701751709,18.7785701751709,18.7785701751709,17.5390625,326.2757648136467,1
sift,AdaptIVF-A4+PQ,10.0,0.8074399999999999,18123.6229,18.801493375856865,33.993974685668945,33.993974685668945,33.993974685668945,11.51953125,318.4145683776587,1
sift,AdaptIVF-Static,10.0,0.8750800000000001,16264.172,113.97255763653584,15.107229232788086,15.107229232788086,15.107229232788086,16.8515625,303.7650313936174,1
sift,AdaptIVF-Static+PQ,10.0,0.8720599999999998,16227.5586,19.69716398962929,30.46696281433105,30.46696281433105,30.46696281433105,9.62109375,299.00102235376835,1
